City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Lorengau,PG,-2.0226,147.2712,77.58,91,100,11.88,moderate rain
208,Mae Hong Son,TH,19.3003,97.9685,56.21,73,8,1.25,clear sky
209,Tonj,SS,7.2737,28.6822,77.95,19,100,5.7,overcast clouds
210,Fairbanks,US,64.8378,-147.7164,-6.75,72,0,0.0,mist
211,Ponta Do Sol,PT,32.6667,-17.1,66.0,55,37,13.06,scattered clouds
212,Port-Gentil,GA,-0.7193,8.7815,80.33,81,30,10.76,light rain
213,Kampene,CD,-3.6,26.6667,67.68,93,100,2.17,overcast clouds
214,Atherton,GB,53.5237,-2.4935,46.29,87,80,8.01,broken clouds
215,Hartlepool,GB,54.6861,-1.2125,43.99,76,99,15.46,overcast clouds
216,Townsville,AU,-19.25,146.8,76.08,94,20,0.0,few clouds
217,Hay River,CA,60.8156,-115.7999,-5.82,71,75,10.36,broken clouds
218,Clyde River,CA,70.4692,-68.5914,-30.77,68,0,3.44,haze
219,Tautira,PF,-17.7333,-149.15,84.22,78,35,19.22,light rain
220,Asyut,EG,27.181,31.1837,55.58,73,5,6.08,clear sky
221,Carutapera,BR,-1.195,-46.02,77.4,88,98,6.15,overcast clouds
222,Sena Madureira,BR,-9.0656,-68.6569,86.41,58,55,2.75,broken clouds
223,Moron,AR,-34.6534,-58.6198,81.01,31,7,9.86,clear sky
224,Tamparan,PH,7.8792,124.3331,66.42,93,100,2.3,overcast clouds
225,Adrar,MR,20.5022,-10.0711,76.87,13,100,10.89,overcast clouds
226,Maldonado,UY,-34.6667,-54.9167,70.99,52,6,13.65,clear sky
227,Marinette,US,45.1,-87.6307,34.3,60,75,10.36,broken clouds
228,Sibolga,ID,1.7427,98.7792,75.16,89,32,3.31,scattered clouds
229,Alpena,US,45.0617,-83.4327,28.11,66,75,4.0,broken clouds
230,Wahpeton,US,46.2652,-96.6059,27.32,86,0,18.41,clear sky
231,Gijon,ES,43.5357,-5.6615,49.84,94,93,7.0,overcast clouds
232,Promissao,BR,-21.5367,-49.8581,71.89,92,100,7.34,overcast clouds
233,Iqaluit,CA,63.7506,-68.5145,-27.31,74,20,1.99,few clouds
234,Katsuura,JP,35.1333,140.3,40.19,46,79,6.78,broken clouds
235,Ballitoville,ZA,-29.539,31.2144,78.17,83,20,10.36,few clouds
236,Florianopolis,BR,-27.6146,-48.5012,79.43,83,40,1.99,scattered clouds
237,Saskylakh,RU,71.9167,114.0833,-28.52,100,91,2.06,overcast clouds
238,Biak,ID,-0.9131,122.8766,75.69,81,70,4.72,broken clouds
239,Saint-Louis,SN,16.3333,-15.0,88.29,9,100,8.28,overcast clouds
240,Verkhneuralsk,RU,53.8769,59.2106,21.4,99,98,3.53,overcast clouds
241,Polovinnoye,RU,54.7914,65.9864,17.8,97,93,7.54,overcast clouds
242,Mount Isa,AU,-20.7333,139.5,76.77,100,75,4.61,broken clouds
243,Stornoway,GB,58.2093,-6.3865,47.93,97,100,5.01,light intensity drizzle
244,Kruisfontein,ZA,-34.0033,24.7314,72.88,93,100,2.21,overcast clouds
245,Aasiaat,GL,68.7098,-52.8699,10.69,73,100,20.96,overcast clouds
246,Ahipara,NZ,-35.1667,173.1667,68.9,92,100,14.54,light rain
247,Srednekolymsk,RU,67.45,153.6833,-15.59,93,100,4.36,overcast clouds
248,Talnakh,RU,69.4865,88.3972,6.21,95,100,8.81,overcast clouds
249,Sechura,PE,-5.5569,-80.8222,75.87,67,100,13.15,overcast clouds
250,Izmit,TR,40.7669,29.9169,39.56,74,4,4.23,clear sky
251,San Patricio,US,28.017,-97.5169,72.28,88,100,9.4,overcast clouds
252,Scottsbluff,US,41.8666,-103.6672,56.28,21,68,18.01,broken clouds
253,Ulkan,RU,57.243,107.3223,-3.78,99,99,2.46,overcast clouds
254,Ventspils,LV,57.3894,21.5606,28.33,80,100,14.97,overcast clouds
255,Kasongo-Lunda,CD,-6.4667,16.8167,70.25,98,99,1.86,light rain
256,The Valley,AI,18.217,-63.0578,84.06,65,20,10.36,few clouds
257,San Policarpo,PH,12.1791,125.5072,78.31,83,83,8.7,broken clouds
258,Matara,LK,5.9485,80.5353,72.84,91,5,9.04,clear sky
259,Kavieng,PG,-2.5744,150.7967,80.31,79,100,7.74,moderate rain
260,Namibe,AO,-15.1961,12.1522,72.5,74,94,8.37,overcast clouds
261,Concordia,AR,-31.393,-58.0209,89.78,49,40,18.99,scattered clouds
262,Alice Springs,AU,-23.7,133.8833,76.55,83,100,17.27,light rain
263,Lima,PE,-12.0432,-77.0282,75.45,65,0,11.5,clear sky
264,Peniche,PT,39.3558,-9.3811,56.68,91,0,10.09,clear sky
265,Cabedelo,BR,-6.9811,-34.8339,84.87,72,23,12.1,few clouds
266,Iskateley,RU,67.6803,53.1512,6.22,96,100,7.63,overcast clouds
267,Agadez,NE,19.75,10.25,55.54,21,0,7.18,clear sky
268,Buraydah,SA,26.326,43.975,61.25,28,29,4.12,scattered clouds
269,Guararapes,BR,-21.2608,-50.6428,78.78,89,98,8.88,light rain
270,Ziway,ET,7.9333,38.7167,66.49,37,31,11.39,scattered clouds
271,Santa Cruz,BO,-17.8,-63.1667,94.46,49,40,10.36,scattered clouds
272,Haines Junction,CA,60.7522,-137.5108,-16.65,69,95,1.14,overcast clouds
273,Obo,CF,5.3998,26.4869,73.92,23,98,4.38,overcast clouds
274,Vangaindrano,MG,-23.35,47.6,74.34,84,34,3.76,light rain
275,Niltepec,MX,16.5667,-94.6167,88.11,37,0,9.98,clear sky
276,Paragominas,BR,-2.9667,-47.4833,75.38,93,100,1.12,light rain
277,Yar-Sale,RU,66.8333,70.8333,-15.83,100,93,5.44,overcast clouds
278,Port Hardy,CA,50.6996,-127.4199,42.76,93,75,5.75,broken clouds
279,Paita,PE,-5.0892,-81.1144,88.36,70,100,13.67,overcast clouds
280,Goure,NE,13.9835,10.2704,60.13,18,5,10.65,clear sky
281,Noumea,NC,-22.2763,166.4572,78.78,80,100,2.59,overcast clouds
282,Tuatapere,NZ,-46.1333,167.6833,67.82,73,50,1.79,scattered clouds
283,Tiznit,MA,29.5833,-9.5,64.54,40,99,3.87,overcast clouds
284,Whitefish,US,48.4111,-114.3376,35.01,70,100,12.66,overcast clouds
285,Sanchazi,CN,42.0817,126.6003,8.8,97,100,2.55,overcast clouds
