City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Labuhan,ID,77.56,overcast clouds,-6.8844,112.2051,DoubleFAG
523,Tucuman,AR,89.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
530,Kloulklubed,PW,82.6,light rain,7.0419,134.2556,Storyboard Beach Resort
533,Panaba,MX,81.05,scattered clouds,21.2833,-88.2667,Hotel California
536,Impfondo,CG,75.06,broken clouds,1.6381,18.0667,Auberge La Place de Jules
539,Hervey Bay,AU,80.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
541,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
543,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
545,Semenyih,MY,76.78,overcast clouds,2.9516,101.843,Diamond City Bungalow 13 pax by BeeStay near Broga
546,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Poutur Pousada
551,Fomboni,KM,83.07,broken clouds,-12.28,43.7425,Auberge les abou
554,Bell Ville,AR,89.64,clear sky,-32.6259,-62.6887,Hotel Central
561,General Pico,AR,77.88,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
563,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
564,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Austral Hotel
570,Rawson,AR,76.21,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
571,Coahuayana,MX,85.46,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
573,Junin,AR,79.56,few clouds,-34.5838,-60.9433,Hotel Central
579,Morondava,MG,79.66,clear sky,-20.2833,44.2833,La Case Bambou
589,Sao Joao Da Barra,BR,84.29,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
590,Takoradi,GH,78.96,broken clouds,4.8845,-1.7554,Raybow International Hotel
596,Saldanha,ZA,80.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
597,Ugoofaaru,MV,82.29,clear sky,5.6667,73.0,Ungoofaaru Inn
598,Rodrigues Alves,BR,84.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
600,Luwuk,ID,76.41,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
604,Batasan,PH,79.09,overcast clouds,12.7667,120.7833,CORDERO Beach Resort
610,Tabou,CI,79.61,overcast clouds,4.423,-7.3528,hotêl doufoulougou
614,Kedougou,SN,86.63,broken clouds,12.5579,-12.1743,Relais de Kédougou
617,Bubaque,GW,78.8,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
621,Todos Santos,MX,79.02,clear sky,23.45,-110.2167,Hotel California Todos Santos
622,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
629,Banda Aceh,ID,77.13,broken clouds,5.5577,95.3222,Sulthan Hotel International
638,Inhambane,MZ,76.84,scattered clouds,-23.865,35.3833,Oceano
639,Bima,ID,75.72,broken clouds,-8.4667,118.7167,Lambitu Hotel
643,Tevaitoa,PF,81.01,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
647,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
648,Rio Branco,BR,84.81,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
651,Yaring,TH,75.72,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
655,Progreso,MX,82.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
658,Otukpo,NG,77.22,scattered clouds,7.1913,8.1329,Queen s Hotel
663,Moerai,PF,80.1,scattered clouds,-22.4333,-151.3333,Le Manotel
690,La Joya,MX,86.4,clear sky,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
691,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
692,Balao,EC,82.31,moderate rain,-2.9167,-79.8167,Gilson Stalin Lucas S
697,Mildura,AU,75.16,light rain,-34.2,142.15,Mercure Hotel Mildura
698,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
700,Santo Antonio Do Ica,BR,83.48,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
702,Nueva Guinea,NI,75.78,overcast clouds,11.6876,-84.4562,Posadita La Reyna
704,Nicoya,CR,85.55,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
705,Tapes,BR,81.66,few clouds,-30.6733,-51.3958,Cabanas Camping Union
