City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Whyalla,AU,2022-01-30 00:15:36,-33.0333,137.5833,78.19,52,36,8.16
199,Lagoa,PT,2022-01-30 00:19:12,39.05,-27.9833,58.42,73,59,15.01
200,Saldanha,ZA,2022-01-30 00:18:43,-33.0117,17.9442,64.98,85,0,13.87
201,Saa,CM,2022-01-30 00:19:13,4.3667,11.45,67.55,49,97,0.6
202,Yulara,AU,2022-01-30 00:19:14,-25.2406,130.9889,76.84,88,75,11.5
203,Molln,DE,2022-01-30 00:15:08,53.6333,10.6833,44.47,81,75,26.46
204,Tarauaca,BR,2022-01-30 00:19:15,-8.1614,-70.7656,72.99,99,100,4.34
205,Puerto Ayora,EC,2022-01-30 00:19:16,-0.7393,-90.3518,75.02,78,39,6.64
206,Nuuk,GL,2022-01-30 00:17:35,64.1835,-51.7216,9.88,85,100,23.02
207,Tokur,RU,2022-01-30 00:19:17,53.1333,132.9,-21.15,98,97,1.61
208,French Harbor,HN,2022-01-30 00:19:18,16.35,-86.4333,77.09,77,87,22.28
209,Visby,SE,2022-01-30 00:19:19,57.6409,18.296,39.42,81,100,34.52
210,Kamina,CD,2022-01-30 00:19:19,-8.7386,24.9906,63.82,97,100,4.05
211,Najran,SA,2022-01-30 00:19:21,17.4924,44.1277,54.25,51,4,1.03
212,Lincoln,US,2022-01-30 00:19:22,40.8,-96.667,51.71,51,0,8.05
213,Samarai,PG,2022-01-30 00:19:22,-10.6167,150.6667,81.14,75,100,6.64
214,Koungheul,SN,2022-01-30 00:19:23,13.9833,-14.8,79.79,14,87,8.39
215,Port Elizabeth,ZA,2022-01-30 00:18:17,-33.918,25.5701,66.49,88,0,8.05
216,Karlskoga,SE,2022-01-30 00:18:14,59.3267,14.5239,39.11,56,97,20.36
217,Omsukchan,RU,2022-01-30 00:19:25,62.5333,155.8,-6.43,98,100,5.26
218,Uglovka,RU,2022-01-30 00:19:26,58.2392,33.5108,19.45,90,100,12.91
219,Dikson,RU,2022-01-30 00:19:27,73.5069,80.5464,7.23,94,100,19.73
220,Adrar,MR,2022-01-30 00:17:53,20.5022,-10.0711,75.54,11,100,9.33
221,Miandrivazo,MG,2022-01-30 00:19:29,-19.5167,45.4667,77.31,81,1,0.43
222,Tautira,PF,2022-01-30 00:19:30,-17.7333,-149.15,82.42,74,86,11.63
223,Lebu,CL,2022-01-30 00:19:03,-37.6167,-73.65,60.17,83,1,9.33
224,Sola,VU,2022-01-30 00:19:31,-13.8833,167.55,82.69,78,90,19.1
225,Arlit,NE,2022-01-30 00:19:32,18.7369,7.3853,61.97,16,1,6.67
226,Narsaq,GL,2022-01-30 00:19:33,60.9167,-46.05,12.42,95,100,11.41
227,Avera,US,2022-01-30 00:19:34,33.194,-82.5271,39.07,28,0,10.36
228,Jumla,NP,2022-01-30 00:20:34,29.2747,82.1838,31.12,43,0,4.97
229,Chuy,UY,2022-01-30 00:18:20,-33.6971,-53.4616,66.6,77,12,8.01
230,Airai,TL,2022-01-30 00:16:31,-8.9266,125.4092,65.5,81,100,4.07
231,Katsuura,JP,2022-01-30 00:17:05,35.1333,140.3,45.19,60,61,18.45
232,Pontianak,ID,2022-01-30 00:20:37,-0.0333,109.3333,76.98,94,40,3.44
233,Kindu,CD,2022-01-30 00:20:37,-2.95,25.95,72.05,86,69,1.41
234,Coquimbo,CL,2022-01-30 00:20:38,-29.9533,-71.3436,63.59,77,45,8.97
